tx	gene_id	RAP1_IAA_30M_REP1	RAP1_UNINDUCED_REP1	RAP1_UNINDUCED_REP2	WT_REP1	WT_REP2
YAL069W	YAL069W	2	1	0	0	1
YAL068W-A	YAL068W-A	0	0	1	0	0
YAL068C	YAL068C	2	5	11	4	3
YAL067W-A	YAL067W-A	0	0	0	0	0
YAL067C	YAL067C	1	3	4	1	0
YAL066W	YAL066W	0	0	0	0	0
YAL065C	YAL065C	0	2	0	0	0
YAL064W-B	YAL064W-B	1	0	1	2	0
YAL064C-A	YAL064C-A	0	0	0	0	0
YAL064W	YAL064W	0	0	1	0	0
YAL063C-A	YAL063C-A	0	1	1	0	0
YAL063C	YAL063C	4.109	24.532	10.075	6.31	1.082
YAL062W	YAL062W	17	17	23	27	13
YAL061W	YAL061W	30	19	81	10	5
YAL060W	YAL060W	50	51	114	44	27
YAL059C-A	YAL059C-A	0	10.605	0	0	0
YAL059W	YAL059W	18	12.395	42	34	21
YAL058W	YAL058W	23	26.963	48	41	28
YAL056C-A	YAL056C-A	0	1.037	0	0	0
YAL056W	YAL056W	62	49	132	75	39
YAL055W	YAL055W	6	2	5	2	2
YAL054C	YAL054C	4	13	7	4	1
YAL053W	YAL053W	116	129	259	138	68
YAL051W	YAL051W	40	58	118	83	39
YAL049C	YAL049C	29	37	65	34	14
YAL048C	YAL048C	18	20	46	25	10
YAL047W-A	YAL047W-A	0	1	0	0	0
YAL047C	YAL047C	20	23	40	19	14
YAL046C	YAL046C	2	3	7	9	8
YAL045C	YAL045C	0	3	1	0	0
YAL044W-A	YAL044W-A	6	0	14	9	4
YAL044C	YAL044C	34	57	122	50	26
YAL043C	YAL043C	67	67	134	79	43
YAL042C-A	YAL042C-A	0	14.015	0	0	0
YAL042W	YAL042W	145	131.985	290	168	105
YAL041W	YAL041W	61	65	139	92	51
YAL040C	YAL040C	35	44	92	53	38
YAL039C	YAL039C	10	23	39	12	6
YAL038W	YAL038W	5790	6136.561	13408	10612.673	6472
YAL037C-B	YAL037C-B	1	254.439	3	0	0
YAL037C-A	YAL037C-A	0	0	0	0	0
YAL037W	YAL037W	4	5	9	6	1
YAL036C	YAL036C	54	58	147	84	51
YAL035W	YAL035W	414	479	869	770	393
YAL034C-B	YAL034C-B	0	0	0	0	0
YAL034W-A	YAL034W-A	8	2	25	6	6
YAL034C	YAL034C	18	16	44	12	8
YAL033W	YAL033W	13	12	24	19	7
YAL032C	YAL032C	15	14	36	19	15
YAL031W-A	YAL031W-A	0	0	0	0	0
YAL031C	YAL031C	39	40	72	37	15
YAL030W	YAL030W	14	14	40	19	9
YAL029C	YAL029C	177	176	358	245	140
YAL028W	YAL028W	10	8	19	4	4
YAL027W	YAL027W	11	11	20	5	2
YAL026C-A	YAL026C-A	12	12	19.011	14.569	5.359
YAL026C	YAL026C	123	155.919	314.989	183.431	124.641
HRA1	HRA1	0	12.081	0	0	0
YAL025C	YAL025C	19	29	54	51	21
YAL024C	YAL024C	50	52	99	71	47
YAL023C	YAL023C	307	321	657	439	252
YAL022C	YAL022C	42	36	85	56	27
YAL021C	YAL021C	107	102	201	141	82
YAL020C	YAL020C	12	6.369	18	12	2
YAL019W-A	YAL019W-A	0	1.631	0	0	0
YAL019W	YAL019W	105	111	238	192	86
YAL018C	YAL018C	0	0	0	0	0
YAL017W	YAL017W	102	113	207	103	60
YAL016C-B	YAL016C-B	0	1	0	0	0
YAL016C-A	YAL016C-A	0	13.999	0	0	0
YAL016W	YAL016W	151	155.001	325	199	106
YAL015C	YAL015C	13	12	28	9	6
YAL014C	YAL014C	15	19	42	32	18
YAL013W	YAL013W	8	18	35	22	10
YAL012W	YAL012W	254	232	533	404	239.017
YAL011W	YAL011W	10	25	37	20	17
YAL010C	YAL010C	11	12	36	30	10
YAL009W	YAL009W	16	15	19	10	5
YAL008W	YAL008W	15	17	24	10	4
YAL007C	YAL007C	51	56	132	66	51
tP(UGG)A	tP(UGG)A	0	0	0	1	0
YAL005C	YAL005C	6371	5602.184	11936	8638.473	4485
YAL004W	YAL004W	1	132.816	0	0	1
YAL003W	YAL003W	705	814	1704	1283	782
snR18	snR18	3	8	4	8	8
YAL002W	YAL002W	37	32	82	63	26
YAL001C	YAL001C	57	72	115	59	30
YAR002W	YAR002W	57	60	119	62	40
YAR002C-A	YAR002C-A	68	77	154	87	67
YAR003W	YAR003W	27	17	35	24	15
YAR007C	YAR007C	58	67	126	96	45
YAR008W	YAR008W	9	14	18	4	5
YAR009C	YAR009C	17463	16424	31873	38981.119	18319.983
YAR010C	YAR010C	6163	6187	11835	14568.735	6580
tA(UGC)A	tA(UGC)A	0	0	0	0	0
YAR014C	YAR014C	57	61	166	71	50
YAR015W	YAR015W	55	63	150	95	43
YAR018C	YAR018C	20	14	28	26	14
YAR019C	YAR019C	21	34	72	28	20
YAR019W-A	YAR019W-A	0	0	0	0	0
YAR020C	YAR020C	0	0	0	0	0
YAR023C	YAR023C	1	1	5	2	1
tL(CAA)A	tL(CAA)A	0	0	0	0	0
tS(AGA)A	tS(AGA)A	1	0	0	0	0
YAR027W	YAR027W	27	34	73	31	21
YAR028W	YAR028W	19	13	56	16	12
YAR029W	YAR029W	1	2	4	0	0
YAR030C	YAR030C	2	0	2	1	0
YAR031W	YAR031W	19	12	38	14	9
YAR033W	YAR033W	2	16	15	5	3
YAR035W	YAR035W	2	5	4	12	2
YAR035C-A	YAR035C-A	0	0	0	0	0
YAR042W	YAR042W	104	105	195	132	77
YAR047C	YAR047C	0	0	2	1	0
YAR050W	YAR050W	3.891	15.468	10.925	15.69	8.918
YAR053W	YAR053W	0	0	0	0	0
YAR060C	YAR060C	1	0	4	0	1
YAR061W	YAR061W	0	0	0	0	0
YAR062W	YAR062W	1	3	2	1	0
YAR064W	YAR064W	0	2	0	0	0
YAR066W	YAR066W	3	13	8	5	11
YAR068W	YAR068W	12	16	23	10	7
YAR069C	YAR069C	0	0	0	0	1
YAR070C	YAR070C	0	0	0	0	0
Gfp_transgene_gene	Gfp_transgene_gene	0	0	0	0	0
