#Position (bp)	Coverage	Std
21.5	2.9761904761904763	2.6681543469311553
63.5	8.523809523809524	3.4982989063393712
105.5	10.833333333333334	4.2116618143074165
147.5	12.428571428571429	3.4156502553198647
189.5	11.095238095238095	1.6035674514745457
231.5	9.071428571428571	1.503963018795595
273.5	6.642857142857143	3.0355041944108256
315.5	7.571428571428571	3.015831244489336
357.5	3.642857142857143	2.262531241562781
399.5	4.261904761904762	1.5660079668957474
441.5	5.261904761904762	1.738910441572402
483.5	6.476190476190476	2.699206232527312
525.5	9.452380952380953	2.972092416687834
567.5	6.642857142857143	3.1052950170405946
609.5	4.380952380952381	1.9639610121239315
651.5	8.5	3.313033425154428
693.5	10.80952380952381	4.237025012007948
735.5	6.666666666666667	3.0937725468153876
777.5	5.904761904761905	3.2877840272018797
819.5	5.261904761904762	1.6973368495830106
861.5	4.642857142857143	2.558831578595795
903.5	5.714285714285714	2.935821455580639
945.5	4.142857142857143	1.1338934190276813
987.5	5.071428571428571	1.10194633003868
1029.5	6.761904761904762	3.3452169123206628
1071.5	9.166666666666666	1.8708286933869707
1113.5	9.333333333333334	2.591193878173864
1155.5	11.642857142857142	3.8760559237205956
1197.5	12.738095238095237	4.361629228145088
1239.5	12.857142857142858	5.084991923016482
1281.5	21.11904761904762	3.2330142208751513
1323.5	27.61904761904762	6.082762530298219
1365.5	21.285714285714285	4.840306956027835
1407.5	19.523809523809526	4.603311437484564
1449.5	11.785714285714286	4.788378789169818
1491.5	8.357142857142858	2.4928469095164485
1533.5	7.5476190476190474	2.882624465573657
1575.5	8.047619047619047	1.272418020560704
1617.5	7.785714285714286	3.693623849670828
1659.5	8.404761904761905	2.581988897471612
1701.5	4.5	2.3042403975114683
1743.5	8.69047619047619	5.986094998689323
1785.5	19.857142857142858	5.90399380564909
1827.5	14.30952380952381	4.032605207791207
1869.5	8.880952380952381	3.99106144134257
1911.5	13.047619047619047	1.8387366263150304
1953.5	6.166666666666667	2.314550249431378
1995.5	7.428571428571429	2.5354627641855503
2037.5	7.404761904761905	2.832632966660087
2079.5	7.476190476190476	2.992052966172382
2121.5	8.261904761904763	2.444624812970383
2163.5	8.738095238095237	3.6807090414238193
2205.5	6.428571428571429	3.0550504633038935
2247.5	11.642857142857142	4.002975084085525
2289.5	9.095238095238095	2.390457218668786
2331.5	4.071428571428571	1.1649647450214353
2373.5	4.761904761904762	2.63673679998231
2415.5	6.0476190476190474	1.1751393027860058
2457.5	7.880952380952381	4.1144345211184765
2499.5	8.833333333333334	3.9430469243491193
2541.5	11.261904761904763	2.5307631071994665
2583.5	11.071428571428571	1.896111308768054
2625.5	6.404761904761905	2.747293039997563
2667.5	4.523809523809524	2.171240593367238
2709.5	2.642857142857143	1.9456912102680337
2751.5	2.357142857142857	1.3363062095621219
2793.5	3.5952380952380953	2.0412414523193148
2835.5	2.0714285714285716	0.8864052604279182
2877.5	2.738095238095238	2.1100665753432883
2919.5	7.333333333333333	2.845213189769458
2961.5	10.476190476190476	3.309438162646486
3003.5	5.666666666666667	3.1244047052046184
3045.5	5.428571428571429	2.6636888135137133
3087.5	8.833333333333334	3.8265986388511064
3129.5	7.9523809523809526	4.214487485081046
3171.5	4.214285714285714	1.6973368495830106
3213.5	2.619047619047619	1.759328876372492
3255.5	4.142857142857143	1.6618979396776334
3297.5	6.476190476190476	2.5166114784235836
3339.5	9.380952380952381	2.886751345948128
3381.5	7.214285714285714	1.9700132946131048
3423.5	10.523809523809524	4.0
3465.5	14.0	1.745743121887936
3507.5	9.595238095238095	3.4812422522782898
3549.5	6.571428571428571	2.886751345948129
3591.5	6.0	1.463850109422801
3633.5	5.166666666666667	1.4392458342578494
3675.5	5.571428571428571	2.526054706642827
3717.5	4.595238095238095	2.3145502494313788
3759.5	5.809523809523809	3.0
3801.5	5.119047619047619	1.5811388300841898
3843.5	2.6904761904761907	1.8580583823930164
3885.5	3.0952380952380953	1.133893419027682
3927.5	4.142857142857143	1.195228609334393
3969.5	2.4761904761904763	1.759328876372492
4011.5	2.9761904761904763	2.6770630673681683
4053.5	6.523809523809524	2.760262237369417
4095.5	4.214285714285714	1.5197117521174237
4137.5	2.8095238095238093	2.0930724738891344
4179.5	5.690476190476191	3.0744724673317454
4221.5	7.690476190476191	3.2330142208751496
4263.5	5.404761904761905	2.395432161029662
4305.5	2.1666666666666665	0.9636241116594316
4347.5	3.238095238095238	1.496026483086191
4389.5	4.357142857142857	1.7928429140015907
4431.5	5.119047619047619	1.5197117521174237
4473.5	3.4047619047619047	1.8060744065250365
4515.5	6.404761904761905	2.5495097567963922
4557.5	7.428571428571429	2.6095064302514777
4599.5	7.023809523809524	1.224744871391589
