gene_id	gene_name	RAP1_IAA_30M_REP1	RAP1_UNINDUCED_REP1	RAP1_UNINDUCED_REP2	WT_REP1	WT_REP2
Gfp_transgene_gene	Gfp_transgene_gene	0	0	0	0	0
HRA1	HRA1	0	930.439317	0	0	0
snR18	snR18	10422.600936	76889.975229	21145.064446	14887.362566	28511.902996
tA(UGC)A	TGA1	0	0	0	0	0
tL(CAA)A	SUP56	0	0	0	0	0
tP(UGG)A	TRN1	0	0	0	3041.213987	0
tS(AGA)A	tS(AGA)A	4742.479757	0	0	0	0
YAL001C	TFC3	754.196265	758.385461	666.230683	436.448717	416.44518
YAL002W	VPS8	447.47902	314.341051	429.605963	415.407997	314.582491
YAL003W	EFB1	63494.658159	74348.860521	85470.362105	59372.993716	71447.847682
YAL004W	YAL004W	94.812812	29263.132632	47.059729	0	95.811678
YAL005C	SSA1	159407.093193	121773.381286	148979.218593	112546.287946	111817.269649
YAL007C	ERP2	4361.389356	4791.463264	6211.884253	3065.537385	4215.713838
YAL008W	FUN14	1485.119204	1668.332668	1295.43093	562.18339	321.394971
YAL009W	SPO7	1040.949767	963.781529	671.444666	354.742252	375.913709
YAL010C	MDM10	380.685869	331.691045	547.29854	550.672038	350.215064
YAL011W	SWC3	265.89509	522.936332	414.171867	267.969664	457.487398
YAL012W	CYS3	11046.505377	8449.66681	10737.067334	9131.793672	10407.392713
YAL013W	DEP1	346.52817	633.228361	677.212841	482.435737	438.27337
YAL014C	SYN8	1213.48109	1314.811352	1554.788045	1125.726981	1303.666107
YAL015C	NTG1	528.865632	430.150915	552.035394	186.992178	267.550828
YAL016C-A	YAL016C-A	0	7297.698006	0	0	0
YAL016C-B	YAL016C-B	0	4546.528198	0	0	0
YAL016W	TPD3	3867.366139	3163.024122	3682.693453	2688.923164	2750.490785
YAL017W	PSK1	1164.63658	1015.993712	1029.37769	623.990925	707.411019
YAL018C	LDS1	0	0	0	0	0
YAL019W	FUN30	1422.315602	1201.510215	1416.937628	1389.462149	1197.473899
YAL019W-A	YAL019W-A	0	308.020225	0	0	0
YAL020C	ATS1	654.547648	231.200054	448.319019	347.119696	110.357978
YAL021C	CCR4	2034.749951	1534.217586	1679.392118	1397.989688	1549.608295
