I	11867	11893	2	2	1	0	1	42
I	11867	24325	2	2	1	0	1	42
I	12488	12679	1	1	0	0	1	45
I	12536	12583	1	1	1	1	0	19
I	12584	12679	1	1	1	1	1	16
I	12728	24940	1	1	1	0	2	48
I	12776	24940	1	1	1	0	4	36
I	24299	24325	2	2	1	0	1	42
I	25529	25663	2	2	1	2	0	40
I	26161	26430	1	1	1	0	1	16
I	71512	161241	1	1	1	2	27	13
I	76875	77092	1	1	1	1	0	20
I	84461	165639	2	2	1	21	2	13
I	87388	87500	1	1	1	21	0	46
I	99150	140296	2	2	1	0	1	13
I	107038	139653	2	2	1	3	5	16
I	109124	132784	2	2	1	0	1	17
I	121777	162569	1	1	1	6	14	18
I	123864	165646	1	1	1	56	71	20
I	124393	165823	2	2	1	1	0	12
I	140460	145880	1	1	1	1	0	13
I	142254	142619	1	1	1	266	0	50
I	151007	151096	2	2	1	3	0	17
I	156545	165757	1	1	1	0	5	14
I	160161	161612	2	2	1	1	10	13
I	160770	187132	2	2	1	0	2	17
I	160861	172753	1	1	1	26	61	15
I	161001	170934	1	1	1	1	8	17
I	162344	193098	1	1	1	1	4	12
I	165635	165682	1	1	1	68	45	14
I	165735	179334	2	2	1	3	10	20
I	197654	197754	2	2	1	1	0	33
I	204941	205210	2	2	1	0	1	16
I	219203	222587	1	1	1	2	2	12
I	223011	229477	1	1	1	1	0	18
