I	12776	24940	1	1	1	0	2	44
I	26026	26430	1	1	1	0	6	47
I	26026	26565	1	1	1	0	6	47
I	26026	26700	1	1	1	0	6	47
I	26161	26430	1	1	1	0	6	47
I	26161	26565	1	1	1	0	6	47
I	26161	26700	1	1	1	0	6	47
I	71512	161241	1	1	1	2	14	13
I	83280	111704	2	2	1	0	1	14
I	84461	165639	2	2	1	21	0	13
I	87388	87500	1	1	1	5	0	40
I	101307	143276	1	1	1	1	12	31
I	121510	160259	1	1	1	0	4	19
I	121510	165847	1	1	1	0	4	19
I	121777	162569	1	1	1	5	2	18
I	123864	165646	1	1	1	25	36	14
I	142119	160505	2	2	1	1	1	12
I	142254	142619	1	1	1	135	0	50
I	160770	187132	2	2	1	1	1	17
I	160799	164526	1	1	1	0	3	13
I	160861	172753	1	1	1	12	19	15
I	165635	165682	1	1	1	23	9	14
I	165735	179334	2	2	1	3	1	17
I	204646	205050	2	2	1	0	5	30
I	204671	205210	2	2	1	0	6	47
I	204671	205345	2	2	1	0	6	47
I	204781	205050	2	2	1	0	5	30
I	204806	205210	2	2	1	0	6	47
I	204806	205345	2	2	1	0	6	47
I	204916	205050	2	2	1	0	5	30
I	204941	205210	2	2	1	0	6	47
I	204941	205345	2	2	1	0	6	47
I	206113	206247	1	1	1	0	1	34
I	206113	206382	1	1	1	1	2	40
I	219203	222587	1	1	1	0	1	12
