task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
2	b7/65c5d3	50992	NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GUNZIP_GTF (genes.gtf.gz)	COMPLETED	0	2023-03-08 12:43:25.057	3.4s	37ms	76.9%	0	0	116 KB	200.4 KB
3	f1/7f6fc0	50993	NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GUNZIP_ADDITIONAL_FASTA (gfp.fa.gz)	COMPLETED	0	2023-03-08 12:43:25.091	3.4s	34ms	86.2%	0	0	106.1 KB	1.7 KB
1	d3/5cf632	50994	NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK (samplesheet_test.csv)	COMPLETED	0	2023-03-08 12:43:25.119	8.3s	0ms	57.5%	3.2 MB	5.4 MB	1.5 MB	1.8 KB
4	4e/71d597	50995	NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:UNTAR_SALMON_INDEX (salmon.tar.gz)	COMPLETED	0	2023-03-08 12:43:25.149	8.3s	90ms	77.4%	2.9 MB	3.9 MB	3.3 MB	2.5 MB
5	07/d9c46a	50996	NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CAT_ADDITIONAL_FASTA (gfp.fa)	COMPLETED	0	2023-03-08 12:43:28.738	4.7s	1s	82.6%	6.7 MB	13.7 MB	2.2 MB	858.9 KB
8	27/833fb0	50997	NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GTF2BED (genome_gfp.gtf)	COMPLETED	0	2023-03-08 12:43:33.746	4.7s	0ms	79.8%	5.8 MB	26.5 MB	407.5 KB	7.8 KB
6	56/ae317a	50998	NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome_gfp.fasta)	COMPLETED	0	2023-03-08 12:43:33.772	4.7s	0ms	84.3%	3.2 MB	5.4 MB	350.1 KB	5 KB
9	c6/f98785	50999	NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:STAR_GENOMEGENERATE (genome_gfp.fasta)	COMPLETED	0	2023-03-08 12:43:33.797	9.6s	0ms	92.9%	4.7 MB	11.7 MB	4.7 MB	6.2 MB
7	46/68d2f5	51000	NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:BBMAP_BBSPLIT	COMPLETED	0	2023-03-08 12:43:33.889	9.5s	2s	134.2%	393.1 MB	9.8 GB	4.3 MB	4.9 MB
10	96/2aa425	51001	NFCORE_RNASEQ:RNASEQ:CAT_FASTQ (RAP1_UNINDUCED_REP2)	COMPLETED	0	2023-03-08 12:43:35.726	12.7s	50ms	52.6%	0	0	4.4 MB	4.3 MB
14	a7/d6f1fa	51002	NFCORE_RNASEQ:RNASEQ:CAT_FASTQ (WT_REP1)	COMPLETED	0	2023-03-08 12:43:35.752	12.7s	67ms	54.9%	2.8 MB	3.9 MB	8.5 MB	8.4 MB
11	b8/d03ca5	51003	NFCORE_RNASEQ:RNASEQ:FASTQ_SUBSAMPLE_FQ_SALMON:FQ_SUBSAMPLE (RAP1_UNINDUCED_REP1)	COMPLETED	0	2023-03-08 12:43:35.781	12.7s	1s	98.2%	6.1 MB	10.5 MB	4.4 MB	2.2 MB
15	36/0a1bce	51004	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (WT_REP2)	COMPLETED	0	2023-03-08 12:43:35.958	22.5s	5s	201.1%	345.7 MB	3.7 GB	24.7 MB	3.6 MB
13	64/729796	51005	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (RAP1_IAA_30M_REP1)	COMPLETED	0	2023-03-08 12:43:35.993	27.4s	4s	234.0%	364.2 MB	3.7 GB	24.7 MB	3.6 MB
16	a3/7aa131	51006	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (WT_REP2)	COMPLETED	0	2023-03-08 12:43:36.019	47.4s	12s	146.0%	171 MB	3.7 GB	171.2 MB	119.9 MB
12	a8/c4d487	51007	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (RAP1_IAA_30M_REP1)	COMPLETED	0	2023-03-08 12:43:36.048	57.4s	9s	174.5%	217.8 MB	3.7 GB	171.8 MB	120.4 MB
17	52/af35bb	51008	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (RAP1_UNINDUCED_REP2)	COMPLETED	0	2023-03-08 12:43:48.482	49.9s	4s	177.9%	235 MB	3.6 GB	24 MB	1.8 MB
18	88/b4a858	51009	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (RAP1_UNINDUCED_REP2)	COMPLETED	0	2023-03-08 12:43:48.513	59.9s	7s	142.7%	240 MB	3.6 GB	115.9 MB	78.6 MB
19	17/8ebc59	51010	NFCORE_RNASEQ:RNASEQ:FASTQ_SUBSAMPLE_FQ_SALMON:FQ_SUBSAMPLE (WT_REP1)	COMPLETED	0	2023-03-08 12:43:48.539	1m 5s	4s	99.7%	6.8 MB	11.4 MB	12.7 MB	8.5 MB
20	56/c2d0d4	51011	NFCORE_RNASEQ:RNASEQ:FASTQ_SUBSAMPLE_FQ_SALMON:SALMON_QUANT (RAP1_UNINDUCED_REP1)	COMPLETED	0	2023-03-08 12:43:48.987	1m 4s	1s	42.9%	236.7 MB	382.2 MB	3.1 MB	24.4 KB
21	30/ff4207	51012	NFCORE_RNASEQ:RNASEQ:BBMAP_BBSPLIT (1)	COMPLETED	0	2023-03-08 12:44:23.500	49.9s	18s	263.6%	1.2 GB	12.8 GB	35.5 MB	29 MB
22	76/3faa22	51013	NFCORE_RNASEQ:RNASEQ:BBMAP_BBSPLIT (2)	COMPLETED	0	2023-03-08 12:44:33.477	59.9s	18s	269.5%	1.2 GB	12.8 GB	35.7 MB	29.2 MB
23	90/22c7f7	51014	NFCORE_RNASEQ:RNASEQ:BBMAP_BBSPLIT (3)	COMPLETED	0	2023-03-08 12:44:48.478	59.9s	14s	277.9%	1.1 GB	12 GB	35.3 MB	28.7 MB
