## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT WT_REP1.sorted.bam --OUTPUT WT_REP1.markdup.sorted.bam --METRICS_FILE WT_REP1.markdup.sorted.MarkDuplicates.metrics.txt --REMOVE_DUPLICATES false --ASSUME_SORTED true --TMP_DIR tmp --VALIDATION_STRINGENCY LENIENT --REFERENCE_SEQUENCE genome_gfp.fasta --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_QUALITY_SUM_STRATEGY false --USE_END_IN_UNPAIRED_READS false --USE_UNPAIRED_CLIPPED_END false --UNPAIRED_END_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Mar 08 17:53:17 GMT 2023

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	3	90298	6508	0	2	19242	0	0.213102	180562

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	0.999999	60407	60407
2.0	1.606472	7007	7007
3.0	1.974282	1896	1896
4.0	2.197348	738	738
5.0	2.332633	397	397
6.0	2.414679	220	220
7.0	2.464438	120	120
8.0	2.494615	70	70
9.0	2.512917	55	55
10.0	2.524017	44	44
11.0	2.530748	19	19
12.0	2.534831	16	16
13.0	2.537307	13	13
14.0	2.538808	11	11
15.0	2.539719	12	12
16.0	2.540271	8	8
17.0	2.540606	2	2
18.0	2.540809	5	5
19.0	2.540933	2	2
20.0	2.541007	0	0
21.0	2.541053	1	1
22.0	2.54108	0	0
23.0	2.541097	0	0
24.0	2.541107	1	1
25.0	2.541113	3	3
26.0	2.541117	1	1
27.0	2.541119	1	1
28.0	2.54112	1	1
29.0	2.541121	1	1
30.0	2.541122	0	0
31.0	2.541122	1	1
32.0	2.541122	1	1
33.0	2.541122	1	1
34.0	2.541122	1	1
35.0	2.541122	0	0
36.0	2.541122	0	0
37.0	2.541122	0	0
38.0	2.541122	0	0
39.0	2.541122	0	0
40.0	2.541122	0	0
41.0	2.541122	0	0
42.0	2.541122	0	0
43.0	2.541122	1	1
44.0	2.541122	0	0
45.0	2.541122	0	0
46.0	2.541122	0	0
47.0	2.541122	0	0
48.0	2.541122	0	0
49.0	2.541122	0	0
50.0	2.541122	0	0
51.0	2.541122	0	0
52.0	2.541122	0	0
53.0	2.541122	0	0
54.0	2.541122	0	0
55.0	2.541122	0	0
56.0	2.541122	0	0
57.0	2.541122	0	0
58.0	2.541122	0	0
59.0	2.541122	0	0
60.0	2.541122	0	0
61.0	2.541122	0	0
62.0	2.541122	0	0
63.0	2.541122	0	0
64.0	2.541122	0	0
65.0	2.541122	0	0
66.0	2.541122	0	0
67.0	2.541122	0	0
68.0	2.541122	0	0
69.0	2.541122	0	0
70.0	2.541122	0	0
71.0	2.541122	0	0
72.0	2.541122	0	0
73.0	2.541122	0	0
74.0	2.541122	0	0
75.0	2.541122	0	0
76.0	2.541122	0	0
77.0	2.541122	0	0
78.0	2.541122	0	0
79.0	2.541122	0	0
80.0	2.541122	0	0
81.0	2.541122	0	0
82.0	2.541122	0	0
83.0	2.541122	0	0
84.0	2.541122	0	0
85.0	2.541122	0	0
86.0	2.541122	0	0
87.0	2.541122	0	0
88.0	2.541122	0	0
89.0	2.541122	0	0
90.0	2.541122	0	0
91.0	2.541122	0	0
92.0	2.541122	0	0
93.0	2.541122	0	0
94.0	2.541122	0	0
95.0	2.541122	0	0
96.0	2.541122	0	0
97.0	2.541122	0	0
98.0	2.541122	0	0
99.0	2.541122	0	0
100.0	2.541122	0	0

