## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT RAP1_IAA_30M_REP1.sorted.bam --OUTPUT RAP1_IAA_30M_REP1.markdup.sorted.bam --METRICS_FILE RAP1_IAA_30M_REP1.markdup.sorted.MarkDuplicates.metrics.txt --REMOVE_DUPLICATES false --ASSUME_SORTED true --TMP_DIR tmp --VALIDATION_STRINGENCY LENIENT --REFERENCE_SEQUENCE genome_gfp.fasta --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_QUALITY_SUM_STRATEGY false --USE_END_IN_UNPAIRED_READS false --USE_UNPAIRED_CLIPPED_END false --UNPAIRED_END_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Mar 08 17:50:10 GMT 2023

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	2	45767	2934	0	2	5849	0	0.127819	163452

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	0.999999	35981	35981
2.0	1.75578	2872	2872
3.0	2.326986	645	645
4.0	2.758693	222	222
5.0	3.084969	90	90
6.0	3.331562	55	55
7.0	3.517933	23	23
8.0	3.658788	13	13
9.0	3.765245	7	7
10.0	3.845702	5	5
11.0	3.906511	2	2
12.0	3.952468	1	1
13.0	3.987203	1	1
14.0	4.013454	1	1
15.0	4.033294	0	0
16.0	4.048289	0	0
17.0	4.059622	0	0
18.0	4.068187	0	0
19.0	4.074661	0	0
20.0	4.079553	0	0
21.0	4.083251	0	0
22.0	4.086046	0	0
23.0	4.088158	0	0
24.0	4.089754	0	0
25.0	4.09096	0	0
26.0	4.091872	0	0
27.0	4.092561	0	0
28.0	4.093082	0	0
29.0	4.093476	0	0
30.0	4.093773	0	0
31.0	4.093998	0	0
32.0	4.094168	0	0
33.0	4.094297	0	0
34.0	4.094394	0	0
35.0	4.094467	0	0
36.0	4.094523	0	0
37.0	4.094564	0	0
38.0	4.094596	0	0
39.0	4.09462	0	0
40.0	4.094638	0	0
41.0	4.094652	0	0
42.0	4.094662	0	0
43.0	4.09467	0	0
44.0	4.094676	0	0
45.0	4.09468	0	0
46.0	4.094684	0	0
47.0	4.094686	0	0
48.0	4.094688	0	0
49.0	4.09469	0	0
50.0	4.094691	0	0
51.0	4.094692	0	0
52.0	4.094692	0	0
53.0	4.094693	0	0
54.0	4.094693	0	0
55.0	4.094693	0	0
56.0	4.094693	0	0
57.0	4.094694	0	0
58.0	4.094694	0	0
59.0	4.094694	0	0
60.0	4.094694	0	0
61.0	4.094694	0	0
62.0	4.094694	0	0
63.0	4.094694	0	0
64.0	4.094694	0	0
65.0	4.094694	0	0
66.0	4.094694	0	0
67.0	4.094694	0	0
68.0	4.094694	0	0
69.0	4.094694	0	0
70.0	4.094694	0	0
71.0	4.094694	0	0
72.0	4.094694	0	0
73.0	4.094694	0	0
74.0	4.094694	0	0
75.0	4.094694	0	0
76.0	4.094694	0	0
77.0	4.094694	0	0
78.0	4.094694	0	0
79.0	4.094694	0	0
80.0	4.094694	0	0
81.0	4.094694	0	0
82.0	4.094694	0	0
83.0	4.094694	0	0
84.0	4.094694	0	0
85.0	4.094694	0	0
86.0	4.094694	0	0
87.0	4.094694	0	0
88.0	4.094694	0	0
89.0	4.094694	0	0
90.0	4.094694	0	0
91.0	4.094694	0	0
92.0	4.094694	0	0
93.0	4.094694	0	0
94.0	4.094694	0	0
95.0	4.094694	0	0
96.0	4.094694	0	0
97.0	4.094694	0	0
98.0	4.094694	0	0
99.0	4.094694	0	0
100.0	4.094694	0	0

